postgres-1  | The files belonging to this database system will be owned by user "postgres".
postgres-1  | 2026-08-01 21:57:04.318 UTC [1] LOG:  background worker "logical replication launcher" (PID 78) exited with exit code 1
postgres-1  | 2026-08-01 21:57:04.319 UTC [73] LOG:  shutting down
postgres-1  | 2026-08-01 21:57:04.320 UTC [73] LOG:  checkpoint starting: shutdown immediate
postgres-1  | 2026-08-01 21:57:04.362 UTC [73] LOG:  checkpoint complete: wrote 1459 buffers (8.9%); 0 WAL file(s) added, 0 removed, 1 recycled; write=0.017 s, sync=0.021 s, total=0.043 s; sync files=2185, longest=0.002 s, average=0.001 s; distance=16823 kB, estimate=16823 kB; lsn=0/2993D40, redo lsn=0/2993D40
postgres-1  | 2026-08-01 21:57:04.371 UTC [1] LOG:  database system is shut down
postgres-1  | 
postgres-1  | PostgreSQL Database directory appears to contain a database; Skipping initialization
postgres-1  | 
postgres-1  | 2026-08-01 21:57:05.791 UTC [1] LOG:  starting PostgreSQL 16.14 on x86_64-pc-linux-musl, compiled by gcc (Alpine 15.2.0) 15.2.0, 64-bit
postgres-1  | 2026-08-01 21:57:05.791 UTC [1] LOG:  listening on IPv4 address "0.0.0.0", port 5432
postgres-1  | 2026-08-01 21:57:05.791 UTC [1] LOG:  listening on IPv6 address "::", port 5432
postgres-1  | 2026-08-01 21:57:05.793 UTC [1] LOG:  listening on Unix socket "/var/run/postgresql/.s.PGSQL.5432"
postgres-1  | 2026-08-01 21:57:05.800 UTC [29] LOG:  database system was shut down at 2026-08-01 21:57:04 UTC
postgres-1  | 2026-08-01 21:57:05.811 UTC [1] LOG:  database system is ready to accept connections
postgres-1  | 2026-08-01 21:57:06.517 UTC [41] ERROR:  platform usage history is immutable
postgres-1  | 2026-08-01 21:57:06.517 UTC [41] CONTEXT:  PL/pgSQL function opc_converact_platform_usage_history_guard() line 3 at RAISE
postgres-1  | 2026-08-01 21:57:06.517 UTC [41] STATEMENT:  UPDATE converact_platform_usage_entries
postgres-1  | 	         SET quantity = quantity + 1
postgres-1  | 	         WHERE tenant_id = $1 AND entry_id = $2
